channel,coefficient,pvalue,pvalue_fdr,significant
FCz,0.053196512247593634,0.5596163706831343,0.6613648017164314,False
Cz,0.020773490198253496,0.8178824913198682,0.8178824913198682,False
Pz,-0.10483610631402603,0.27481958312865606,0.6613648017164314,False
FC1,0.10520894113958726,0.26089449064007486,0.6613648017164314,False
FC2,-0.055802525774907366,0.5118835602672946,0.6613648017164314,False
F4,0.07147391773425879,0.5074320727722248,0.6613648017164314,False
F5,0.2133880405330166,0.05709383879459601,0.6613648017164314,False
C4,-0.05705663522761103,0.4360190404253883,0.6613648017164314,False
C3,-0.038130583271069905,0.6781902615498827,0.7347061166790395,False
P4,-0.13436980435672838,0.14073461633819873,0.6613648017164314,False
P3,-0.06014609880235082,0.4921016219372576,0.6613648017164314,False
P8,-0.0866029489755416,0.4854706787341454,0.6613648017164314,False
P7,0.07498082687195677,0.5196400702111748,0.6613648017164314,False
