model,channel,formula,n_obs,"C(reward_level, Treatment(reference='no_rew'))[T.high_rew]_b","C(reward_level, Treatment(reference='no_rew'))[T.high_rew]_p","C(reward_level, Treatment(reference='no_rew'))[T.low_rew]_b","C(reward_level, Treatment(reference='no_rew'))[T.low_rew]_p",rpe_binary_b,rpe_binary_p,"rpe_binary:C(reward_level, Treatment(reference='no_rew'))[T.high_rew]_b","rpe_binary:C(reward_level, Treatment(reference='no_rew'))[T.high_rew]_p","rpe_binary:C(reward_level, Treatment(reference='no_rew'))[T.low_rew]_b","rpe_binary:C(reward_level, Treatment(reference='no_rew'))[T.low_rew]_p",Group Var_b,Group Var_p,rpe_mag_b,rpe_mag_p,"rpe_mag:C(reward_level, Treatment(reference='no_rew'))[T.high_rew]_b","rpe_mag:C(reward_level, Treatment(reference='no_rew'))[T.high_rew]_p","rpe_mag:C(reward_level, Treatment(reference='no_rew'))[T.low_rew]_b","rpe_mag:C(reward_level, Treatment(reference='no_rew'))[T.low_rew]_p","C(cond_dir, Treatment(reference='norew_stay'))[T.norew_shift]_b","C(cond_dir, Treatment(reference='norew_stay'))[T.norew_shift]_p","C(cond_dir, Treatment(reference='norew_stay'))[T.rew_shift]_b","C(cond_dir, Treatment(reference='norew_stay'))[T.rew_shift]_p","C(cond_dir, Treatment(reference='norew_stay'))[T.rew_stay]_b","C(cond_dir, Treatment(reference='norew_stay'))[T.rew_stay]_p","rpe_binary:C(cond_dir, Treatment(reference='norew_stay'))[T.norew_shift]_b","rpe_binary:C(cond_dir, Treatment(reference='norew_stay'))[T.norew_shift]_p","rpe_binary:C(cond_dir, Treatment(reference='norew_stay'))[T.rew_shift]_b","rpe_binary:C(cond_dir, Treatment(reference='norew_stay'))[T.rew_shift]_p","rpe_binary:C(cond_dir, Treatment(reference='norew_stay'))[T.rew_stay]_b","rpe_binary:C(cond_dir, Treatment(reference='norew_stay'))[T.rew_stay]_p","rpe_mag:C(cond_dir, Treatment(reference='norew_stay'))[T.norew_shift]_b","rpe_mag:C(cond_dir, Treatment(reference='norew_stay'))[T.norew_shift]_p","rpe_mag:C(cond_dir, Treatment(reference='norew_stay'))[T.rew_shift]_b","rpe_mag:C(cond_dir, Treatment(reference='norew_stay'))[T.rew_shift]_p","rpe_mag:C(cond_dir, Treatment(reference='norew_stay'))[T.rew_stay]_b","rpe_mag:C(cond_dir, Treatment(reference='norew_stay'))[T.rew_stay]_p"
rpe_binary x reward_level,FCz,"FCz ~ rpe_binary * C(reward_level, Treatment(reference='no_rew'))",7963,-0.11645127070349916,0.659254044500788,-0.11240532955079048,0.5903051207726127,0.15521510174699296,0.46178638955725504,-0.2414945989659354,0.5707959569706045,0.14987725140926617,0.6594198329561136,0.11992387751813641,1.256115029913591e-05,,,,,,,,,,,,,,,,,,,,,,,,
rpe_binary x reward_level,Cz,"Cz ~ rpe_binary * C(reward_level, Treatment(reference='no_rew'))",7963,0.13567154247492927,0.6034954709654134,0.04252988046538926,0.8368410594204508,-0.054333240249059986,0.7945603160375029,0.24401162564773649,0.5625912526462291,-0.1804373453536898,0.5917395857777681,0.09729440924667496,1.6037124581384582e-05,,,,,,,,,,,,,,,,,,,,,,,,
rpe_mag x reward_level,FCz,"FCz ~ rpe_mag * C(reward_level, Treatment(reference='no_rew'))",7963,0.24040333665108302,0.2347702223089312,0.21396437895624473,0.15998957047166895,,,,,,,0.11524888820759056,1.3552961974023454e-05,-1.5645418226851504,0.018262010592536113,0.5567477056001642,0.5203871605885967,0.09435469297929304,0.919170910440153,,,,,,,,,,,,,,,,,,
rpe_mag x reward_level,Cz,"Cz ~ rpe_mag * C(reward_level, Treatment(reference='no_rew'))",7963,0.26216469747595406,0.18824292114794727,0.009200889333379023,0.9512848725050486,,,,,,,0.09736346954805357,1.604956809942377e-05,-0.6990568292048437,0.28365059906773726,1.521645085102194,0.07572018588285043,0.9050771009248879,0.3250536705086944,,,,,,,,,,,,,,,,,,
rpe_binary x cond_dir,FCz,"FCz ~ rpe_binary * C(cond_dir, Treatment(reference='norew_stay'))",7920,,,,,0.10297003795287141,0.659948862009786,,,,,0.12031884873365384,1.2654312517565533e-05,,,,,,,-0.1834118911480107,0.28038071666347897,-0.18745610049650044,0.2909793174817762,-0.16360228652960823,0.3709659322767579,-0.03846493079407538,0.8912177433781608,-0.07142144475754765,0.8099204823011551,-0.04461352092046587,0.8856448220358495,,,,,,
rpe_binary x cond_dir,Cz,"Cz ~ rpe_binary * C(cond_dir, Treatment(reference='norew_stay'))",7920,,,,,0.17023718670727017,0.46261287178771104,,,,,0.09799553976839986,1.6093339479513782e-05,,,,,,,-0.29483021797996023,0.07969159376760697,-0.24541343058428372,0.16263642691006974,-0.22168136096618044,0.22091291379417355,-0.06406861409808755,0.818074845719633,-0.44862857547982743,0.12711404187897868,-0.2313340727923192,0.45134695973230776,,,,,,
rpe_mag x cond_dir,FCz,"FCz ~ rpe_mag * C(cond_dir, Treatment(reference='norew_stay'))",7920,,,,,,,,,,,0.116115126174318,1.3315423729369936e-05,-2.7371260309022762,0.0004610525841014334,,,,,-0.10124390566065858,0.5415294501381023,-0.13024322889380904,0.47907756649828226,-0.2020671011126831,0.26532959331613326,,,,,,,2.4248751617393784,0.008601399792929454,2.0160539602511145,0.03166139605081191,1.6779812988361391,0.11321339087780277
rpe_mag x cond_dir,Cz,"Cz ~ rpe_mag * C(cond_dir, Treatment(reference='norew_stay'))",7920,,,,,,,,,,,0.09791128072303491,1.6103068320773292e-05,-0.0746344691466872,0.9230906165816793,,,,,-0.28819281892082965,0.07947664173585614,-0.33946213984089274,0.06267668302575849,-0.13650277394579804,0.4476275147986838,,,,,,,0.6420949784834553,0.48259021762697696,-0.2908161651358064,0.7544778769433038,1.2305039756916956,0.24117574387284524
rpe_binary x cond_dir -> RT_DIFF,RT_DIFF,"RT_DIFF ~ rpe_binary * C(cond_dir, Treatment(reference='norew_stay'))",7920,,,,,-0.029957796993229754,0.7414975816053364,,,,,1.0133612576591171e-10,,,,,,,,0.03315719635848224,0.612161876366179,0.010011823950723128,0.8838547983576295,0.06777799115259037,0.34376361273246225,-0.1218199182498037,0.2678523495314077,-0.04670318610033726,0.6875977589102709,0.1461040015237405,0.21580993741302534,,,,,,
rpe_mag x cond_dir -> RT_DIFF,RT_DIFF,"RT_DIFF ~ rpe_mag * C(cond_dir, Treatment(reference='norew_stay'))",7920,,,,,,,,,,,0.013032855806512325,0.013345400710026508,-1.8379815669072783,1.602673164080068e-08,,,,,-0.02780404908909894,0.6659113632206874,-0.06302095170669021,0.3778773931677297,-0.15736948898491324,0.027111314254667267,,,,,,,-0.3711051498750645,0.3004274204887495,-0.12739583273847602,0.7270814049220158,-0.9535552815681122,0.021031895305382377
