subject,best_model,rw_alpha_binary,rw_alpha_mag,n_trials
ARV_0010,random,0.5527429973396195,0.5334884040072222,172
ARV_0011,wsls,0.999,0.11307036688935006,117
ARV_0013,random,0.011458039972571965,0.019740492975861907,198
ARV_0014,wsls,0.9989991440038516,0.8976355440527559,180
ARV_0015,wsls,0.9989993529600649,0.999,198
ARV_0016,random,0.010970999062769765,0.8516857382984795,174
ARV_0019,rw_bias,0.8596288656674976,0.8651088263606538,192
ARV_0020,ck,0.001,0.001084599669788982,198
ARV_0021,wsls,0.999,0.999,185
ARV_0023,random,0.001,0.04221154990356656,192
ARV_0024,random,0.007868038114560754,0.41682134061294596,197
ARV_0025,rw,0.20637888642194127,0.43493461795985333,197
ARV_0026,rw,0.06432045481435249,0.1716786128152218,170
ARV_0027,random,0.006542376563512232,0.5746491727097166,194
ARV_0029,random,0.8752702586767326,0.6384233684943216,198
ARV_0030,wsls,0.8218197287049374,0.027482055796279426,195
ARV_0031,random,0.09473684527257381,0.02951504196310524,182
ARV_0033,random,0.10522831429835906,0.010342261537570565,164
ARV_0034,wsls,0.981156964818188,0.7414960021506654,188
ARV_0035,rw,0.9570982330426637,0.5294658762310304,197
ARV_0036,rw,0.7226497263837536,0.6796262541003729,190
ARV_0037,wsls,0.8975552532042463,0.8415178577693586,198
ARV_0038,wsls,0.999,0.999,198
ARV_0039,wsls,0.9026469471293358,0.6215263426596849,190
ARV_0040,wsls,0.999,0.060982992970171554,186
ARV_0041,wsls,0.8841739259734994,0.04248523844419606,181
ARV_0042,wsls,0.999,0.3880804930281477,188
ARV_0043,wsls,0.9927607465229525,0.999,194
ARV_0044,wsls,0.025552312140374144,0.012647598066765528,193
ARV_0045,random,0.0010002493022237546,0.0069346523904707785,194
ARV_0047,random,0.001,0.999,195
ARV_0048,wsls,0.7892324727688027,0.7689845684124398,174
ARV_0049,wsls,0.7704182304393226,0.9535966412513784,192
ARV_0050,wsls,0.05636779745247114,0.010636577814706687,193
ARV_0051,wsls,0.9898617499142974,0.999,195
ARV_0052,random,0.001,0.04185097381601799,151
ARV_0053,random,0.001,0.0013449321256064565,198
ARV_0054,rwck,0.785740471568378,0.9109841552267356,195
ARV_0058,random,0.22063858187490165,0.8240691478014344,176
ARV_0059,q_decay,0.999,0.999,189
ARV_0060,random,0.001,0.010887036777688515,189
ARV_0061,rw,0.999,0.8520389913887987,179
ARV_0063,wsls,0.999,0.999,137
