rpe_type,condition,channel,mean_r,mean_z,t,p,n_subjects,pct_positive
rpe_binary,all,FCz,0.010047620062758373,0.010201176257025367,0.7900892685618165,0.43391403390994765,43,58.139534883720934
rpe_binary,all,Cz,0.0025848126874029416,0.0025856617978121206,0.22329196559334932,0.8243907822412025,43,55.81395348837209
rpe_binary,high_rew,FCz,0.010263212912888186,0.009447536215130038,0.27164456066225307,0.7876402220935521,33,60.60606060606061
rpe_binary,high_rew,Cz,0.03661166797834462,0.03870061737554498,1.0072777701118691,0.32135763711747745,33,54.54545454545454
rpe_binary,no_rew,FCz,0.03157053456312837,0.03190067618173157,2.1801159509712758,0.03490363605510786,43,60.46511627906976
rpe_binary,no_rew,Cz,0.0012044284327172138,0.0012137110571029787,0.08954747370550101,0.9290724953828212,43,53.48837209302325
rpe_binary,low_rew,FCz,0.01932516892593502,0.020038547095450675,0.9405892326634236,0.3527051484262764,40,55.00000000000001
rpe_binary,low_rew,Cz,-0.0004398348755663223,8.047413147576482e-05,0.0034079641581614903,0.9972982162597596,40,50.0
rpe_binary,any_rew,FCz,0.020443410374307264,0.021407046404469093,1.153568572295196,0.25519964561566594,43,51.162790697674424
rpe_binary,any_rew,Cz,0.026872406104090214,0.027444575603002362,1.5046840777022856,0.13988906078846378,43,60.46511627906976
rpe_binary,stay,FCz,-0.002147057987254926,-0.0021574226924398927,-0.11919095556374223,0.905692362629552,43,48.837209302325576
rpe_binary,stay,Cz,-0.02321943077913469,-0.023149572937519333,-1.258694000447811,0.2150925444961303,43,39.53488372093023
rpe_binary,shift,FCz,0.01015456646741632,0.009955579898726027,0.6211655568446923,0.5378475657529335,43,62.7906976744186
rpe_binary,shift,Cz,0.022160075236296144,0.02231851921067771,1.0733620749091761,0.2892371691703022,43,55.81395348837209
rpe_mag,all,FCz,-0.0286663599993384,-0.028883043661499675,-2.021451118051354,0.049635781402629996,43,37.2093023255814
rpe_mag,all,Cz,0.005179226707019294,0.005084146825807216,0.36867918701281527,0.7142188369234436,43,60.46511627906976
rpe_mag,high_rew,FCz,-0.036179761995790094,-0.040365662663209505,-1.078123210543264,0.28903905696341475,33,60.60606060606061
rpe_mag,high_rew,Cz,-0.028269172784942023,-0.03281183832893421,-0.8194841076752737,0.41857220692037855,33,51.515151515151516
rpe_mag,no_rew,FCz,-0.0385653976688066,-0.039573261401462875,-1.8716269051301484,0.06823378941860957,43,34.883720930232556
rpe_mag,no_rew,Cz,-0.018621166091329563,-0.019324393496565864,-1.0101793546107625,0.3181939165980739,43,46.51162790697674
rpe_mag,low_rew,FCz,-0.029240293437135034,-0.030947089937124715,-1.1534955181255007,0.25572750405865113,40,42.5
rpe_mag,low_rew,Cz,0.04425801832510256,0.045681182162659886,1.7968845117818417,0.0801016922695076,40,62.5
rpe_mag,any_rew,FCz,-0.029532836614018152,-0.02982851403917905,-1.9204658181293353,0.06160603965653615,43,37.2093023255814
rpe_mag,any_rew,Cz,0.021784448997527944,0.022215698177021473,1.1810012969861663,0.2442469726969134,43,53.48837209302325
rpe_mag,stay,FCz,-0.025065152210791853,-0.02533948940794224,-1.3925158643102087,0.17109506210588918,43,39.53488372093023
rpe_mag,stay,Cz,-0.002465369218870825,-0.0027241685325451125,-0.1384460244340207,0.8905496005138653,43,46.51162790697674
rpe_mag,shift,FCz,-0.04307613767190785,-0.04355098179084108,-2.409058496893982,0.020457161045736996,43,32.55813953488372
rpe_mag,shift,Cz,0.010208277963392817,0.01024683143509842,0.5123956538921296,0.6110583708010838,43,55.81395348837209
